buy-buy,buy-no trade,buy-sell,no trade-buy,no trade-no trade,no trade-sell,sell-buy,sell-no trade,sell-sell,date
3,7,16,11,14,14,18,4,12,171027_1-1
11,8,13,1,20,4,13,11,18,171027_2-2
2,17,7,6,22,11,12,19,3,171027_3-1
1,8,11,13,26,19,12,5,4,171027_4-2
6,17,17,4,6,6,18,12,13,171027_5-1
2,3,22,8,9,18,30,5,2,171027_6-2
2,9,8,8,21,21,14,10,4,171027_7-1
3,11,10,5,22,13,11,16,6,171027_8-2
0,12,10,9,21,15,10,18,4,171027_9-1
1,3,15,10,27,14,11,15,3,171027_10-2
4,16,15,2,5,11,14,28,4,171110_1-1
6,7,7,15,4,30,15,6,9,171110_2-2
5,26,8,0,8,3,4,37,8,171110_3-1
1,1,6,26,8,38,13,2,4,171110_4-2
3,18,13,3,13,14,19,10,6,171110_5-1
4,10,12,13,9,19,17,10,5,171110_6-2
0,11,15,9,16,14,17,14,3,171110_7-1
1,7,19,6,23,11,20,8,4,171110_8-2
10,8,9,8,13,13,16,7,15,171110_9-1
7,10,16,6,13,9,15,10,13,171110_10-2
1,27,14,0,7,1,13,33,3,171114_1-1
0,2,12,26,5,35,17,1,1,171114_2-2
0,5,16,15,16,20,20,6,1,171114_3-1
7,3,19,13,4,22,24,1,6,171114_4-1
4,20,10,4,11,12,13,19,6,171114_5-2
5,15,24,2,3,2,22,20,6,171114_6-2
6,13,17,5,4,10,19,15,10,171114_7-1
16,10,33,11,8,8,7,3,3,171114_8-1
6,6,19,6,10,16,25,3,8,171114_9-2
17,10,8,10,7,4,32,10,1,171114_10-2
5,14,16,6,9,8,16,14,11,171114_11-1
16,0,15,12,1,18,16,4,17,171114_12-1
8,9,10,15,6,16,13,7,15,171114_13-2
15,14,15,1,1,3,15,16,19,171114_14-2
5,21,5,8,11,7,4,23,15,171114_15-1
6,11,27,0,1,1,25,19,9,171114_16-1
6,7,5,20,8,27,6,10,10,171114_17-2
3,0,29,11,1,19,30,1,5,171114_18-2
3,2,20,16,6,22,21,6,3,171114_19-1
4,21,15,5,4,5,16,18,11,171114_20-2
1,1,18,20,5,24,25,1,4,171117_1-2
5,11,18,2,19,7,17,16,4,171117_2-1
3,4,19,12,12,15,15,14,5,171117_3-1
1,6,17,18,11,17,16,10,3,171117_4-2
11,17,17,1,4,2,9,27,11,171117_5-1
3,6,11,10,27,14,12,8,8,171117_6-1
1,14,10,4,28,9,14,9,10,171117_7-2
6,13,10,7,11,13,13,15,11,171117_8-2
5,5,7,8,34,13,5,14,8,171117_9-1
2,8,8,6,35,13,9,12,6,171117_10-2
7,13,2,9,11,25,9,15,8,171117_11-1
1,14,10,12,10,18,9,21,4,171117_12-2
14,6,7,12,4,22,10,12,12,171117_13-1
12,17,7,7,3,12,8,17,16,171117_14-2
6,24,9,1,11,6,8,26,8,171117_15-1
0,4,11,20,13,28,19,1,3,171117_16-2
0,6,7,18,20,24,8,11,5,171117_17-1
0,18,8,4,20,14,10,23,2,171117_18-2
10,16,5,8,6,17,12,9,16,171121_1-1
19,8,3,6,10,15,5,13,20,171121_2-2
0,3,19,11,16,17,23,10,0,171121_3-1
8,16,9,3,11,15,12,16,9,171121_4-2
5,3,26,14,5,12,22,8,4,171121_5-1
11,14,16,8,2,5,16,15,12,171121_6-2
5,16,18,1,7,4,15,25,8,171121_7-1
3,2,15,17,6,25,20,4,7,171121_8-2
4,9,22,6,22,7,16,9,4,171121_9-1
1,9,16,14,16,11,20,10,2,171121_10-2
6,14,25,6,5,10,18,11,4,171121_11-1
8,8,15,12,5,12,24,9,6,171121_12-2
8,13,1,2,31,13,4,18,9,171124_1-1
7,5,2,13,26,24,2,15,5,171124_2-2
1,2,11,25,9,29,14,4,4,171124_3-1
1,26,14,1,10,4,12,26,5,171124_4-2
16,3,14,18,11,4,14,12,7,171124_5-2
10,12,26,8,15,3,15,6,4,171124_6-1
7,4,20,11,3,14,22,6,12,171124_7-1
12,11,17,1,4,9,17,14,14,171124_8-2
0,2,17,21,6,25,16,8,4,171124_9-1
2,23,12,4,4,8,13,25,8,171124_10-2
2,2,15,11,25,17,12,14,1,171124_11-1
5,16,4,7,23,10,7,13,14,171124_12-2
5,13,14,8,13,8,17,11,10,171124_13-1
5,9,16,10,11,16,16,10,6,171124_14-2
5,2,12,9,19,22,20,4,6,171124_15-1
2,14,18,5,13,7,13,23,4,171124_16-2
8,3,19,8,7,20,20,10,4,171124_17-1
12,15,8,7,6,7,11,14,19,171124_18-2
8,13,7,12,6,17,13,12,11,171124_19-1
7,10,16,8,10,13,12,16,7,171124_20-2
