buy-buy,buy-no trade,buy-sell,no trade-buy,no trade-no trade,no trade-sell,sell-buy,sell-no trade,sell-sell,date
2,4,11,1,4,2,11,3,2,171027_1-1
5,0,10,1,8,2,10,0,4,171027_2-2
1,11,4,3,4,2,6,9,0,171027_3-1
1,3,6,11,5,9,4,1,0,171027_4-2
4,7,8,3,1,2,8,4,3,171027_5-1
0,2,13,7,3,1,13,1,0,171027_6-2
2,6,5,2,8,2,6,5,2,171027_7-1
3,3,4,4,6,8,6,3,1,171027_8-2
0,7,3,2,16,2,3,6,1,171027_9-1
0,0,4,7,18,5,3,2,1,171027_10-2
1,10,2,0,4,0,1,22,0,171110_1-1
2,1,0,9,3,23,2,0,0,171110_2-2
1,17,2,0,1,0,1,18,0,171110_3-1
0,0,2,18,1,17,2,0,0,171110_4-2
2,11,5,3,6,3,7,1,2,171110_5-1
4,3,6,7,5,5,7,3,0,171110_6-2
0,7,2,7,10,5,4,5,0,171110_7-1
1,6,5,6,11,4,3,4,0,171110_8-2
1,2,2,7,13,10,3,0,2,171110_9-1
1,8,2,1,13,1,3,9,2,171110_10-2
0,9,5,0,6,1,11,8,0,171114_1-1
0,2,8,9,4,10,5,1,1,171114_2-2
0,1,12,9,3,5,9,1,0,171114_3-1
6,2,8,6,0,5,9,0,4,171114_4-1
2,9,7,1,2,2,10,6,1,171114_5-2
3,5,12,0,1,1,13,4,1,171114_6-2
5,4,6,5,3,5,5,5,2,171114_7-1
2,1,8,8,5,8,6,0,2,171114_8-1
2,5,9,4,6,1,9,3,1,171114_9-2
1,9,6,1,4,1,8,9,1,171114_10-2
2,8,2,5,6,5,3,8,1,171114_11-1
10,0,7,4,0,3,7,1,8,171114_12-1
2,6,2,8,4,9,2,5,2,171114_13-2
11,2,7,1,0,0,6,4,9,171114_14-2
2,7,2,6,6,5,3,4,5,171114_15-1
2,2,16,0,0,0,17,3,0,171114_16-1
4,4,4,6,4,7,2,8,1,171114_17-2
2,0,18,2,0,2,16,0,0,171114_18-2
2,1,9,10,2,8,6,2,0,171114_19-1
2,10,5,3,2,1,7,8,2,171114_20-2
1,1,7,12,4,6,8,1,0,171117_1-2
5,4,8,2,10,1,7,3,0,171117_2-1
1,2,7,6,9,5,5,5,0,171117_3-1
1,4,8,10,6,2,7,2,0,171117_4-2
6,10,5,1,3,2,3,8,2,171117_5-1
1,4,5,6,10,4,4,5,1,171117_6-1
0,7,5,3,12,3,6,2,2,171117_7-2
2,7,3,4,9,3,4,5,3,171117_8-2
3,2,4,5,13,3,2,5,3,171117_9-1
2,3,5,4,13,3,3,5,2,171117_10-2
3,12,1,0,4,4,0,13,3,171117_11-1
1,1,0,11,5,14,4,2,2,171117_12-2
11,0,2,4,1,11,4,2,5,171117_13-1
9,9,1,0,0,3,4,7,7,171117_14-2
1,16,1,0,7,1,2,11,1,171117_15-1
0,1,2,16,7,12,2,0,0,171117_16-2
0,0,3,13,7,13,3,1,0,171117_17-1
0,12,3,0,8,1,3,13,0,171117_18-2
4,12,1,4,1,4,5,3,6,171121_1-1
13,0,0,2,6,8,1,3,7,171121_2-2
0,2,11,9,4,1,7,6,0,171121_3-1
4,8,4,3,2,7,6,3,3,171121_4-2
5,2,15,3,0,3,7,5,0,171121_5-1
7,3,5,4,0,3,11,4,3,171121_6-2
4,8,8,0,0,0,8,9,3,171121_7-1
2,0,10,9,0,7,10,0,2,171121_8-2
4,5,11,5,8,1,5,1,0,171121_9-1
1,6,6,10,4,1,9,3,0,171121_10-2
5,7,15,1,0,1,8,3,0,171121_11-1
7,2,5,7,0,3,13,0,3,171121_12-2
0,13,0,0,12,0,1,14,0,171124_1-1
0,0,0,13,12,15,0,0,0,171124_2-2
0,0,1,20,4,15,0,0,0,171124_3-1
0,21,0,0,4,0,1,14,0,171124_4-2
7,1,13,1,4,1,6,5,2,171124_5-2
5,2,8,5,1,3,11,3,2,171124_6-1
3,4,8,4,1,6,6,5,3,171124_7-1
5,5,3,1,2,8,8,5,3,171124_8-2
0,2,7,11,3,8,5,4,0,171124_9-1
1,9,5,3,3,3,5,11,0,171124_10-2
2,1,4,6,12,8,4,3,0,171124_11-1
3,8,1,2,11,2,3,6,4,171124_12-2
2,6,5,6,7,1,7,5,1,171124_13-1
2,8,6,7,4,6,4,2,1,171124_14-2
3,1,7,6,4,8,9,1,1,171124_15-1
0,9,9,4,2,0,7,8,1,171124_16-2
5,3,11,1,2,4,12,2,0,171124_17-1
8,2,7,4,2,1,8,2,6,171124_18-2
7,3,1,6,1,5,6,5,6,171124_19-1
3,5,12,1,3,4,6,4,2,171124_20-2
