buy-buy,buy-no trade,buy-sell,no trade-buy,no trade-no trade,no trade-sell,sell-buy,sell-no trade,sell-sell,date
6,15,22,2,5,4,22,11,12,180706_1-1
8,2,20,7,7,17,28,2,8,180706_2-2
1,2,8,15,8,23,13,4,5,180713_1-2
12,9,9,10,4,15,19,7,14,180713_2-2
13,9,19,7,6,6,11,13,15,180713_3-1
0,0,11,16,19,32,18,2,1,180720_1-2
1,19,14,1,14,6,10,33,1,180720_2-1
2,3,24,8,3,22,30,4,3,180720_3-2
4,15,21,1,4,4,24,14,12,180720_4-1
5,13,13,12,7,13,11,16,9,180720_5-2
0,10,17,9,10,17,22,13,1,180720_6-1
9,1,24,8,0,12,25,4,16,180724_1-2
6,13,23,0,0,5,29,7,16,180724_2-1
10,6,10,12,8,17,15,4,17,180724_3-2
6,13,17,7,6,5,14,17,14,180724_4-1
0,5,21,15,16,14,16,6,6,180724_5-2
3,18,10,5,10,12,18,17,6,180724_6-1
11,5,19,10,2,9,16,8,19,180724_7-2
15,8,14,1,2,12,20,11,16,180724_8-1
1,4,21,11,13,15,19,12,3,180724_9-2
2,7,21,4,14,12,20,18,1,180724_10-1
7,9,18,6,14,11,17,11,6,180724_11-1
4,7,20,11,12,10,19,13,3,180724_12-2
4,11,24,5,6,3,28,10,8,180731_1-1
8,5,23,10,3,14,22,6,8,180731_2-2
6,9,20,3,8,11,23,10,9,180731_3-1
5,5,21,10,7,10,21,10,10,180731_4-2
3,0,12,24,11,24,5,14,6,180803_1-1
4,24,5,0,9,16,12,25,4,180803_2-2
3,0,30,3,6,13,36,0,8,180803_3-1
2,7,33,1,2,3,31,13,7,180803_4-2
1,6,24,6,14,11,27,2,8,180803_5-1
4,12,18,6,7,10,20,13,9,180803_6-2
8,17,10,4,8,6,14,20,12,180807_1-1
4,4,19,10,12,23,22,2,3,180807_2-2
0,4,26,11,10,12,31,5,0,180809_1-1
6,13,22,6,5,8,18,16,5,180809_2-2
14,5,32,2,0,1,23,9,13,180809_3-1
18,1,19,5,0,10,28,2,16,180809_4-2
3,16,9,5,36,10,7,7,6,180810_1-1
2,7,6,11,38,10,14,7,4,180810_2-2
3,9,18,4,11,14,21,14,5,180810_3-1
2,5,20,8,12,14,20,13,5,180810_4-2
3,9,13,11,13,19,15,12,4,180814_1-1
1,15,14,6,16,12,18,12,5,180814_2-2
3,9,23,5,11,10,24,10,4,180814_3-1
8,7,17,6,10,14,20,9,8,180814_4-2
2,21,3,8,25,15,5,13,7,180814_5-1
1,9,4,17,27,16,9,11,5,180814_6-2
6,6,21,7,7,13,26,7,6,180814_7-1
4,8,27,4,8,8,26,10,4,180814_8-2
8,23,20,0,0,0,5,40,3,180817_1-2
0,0,12,31,0,33,21,0,2,180817_2-1
5,9,15,7,19,8,12,16,8,180817_3-1
6,8,10,11,17,17,12,9,9,180817_4-2
4,7,21,9,7,14,20,9,8,180820_1-1
4,6,22,6,11,7,21,14,8,180820_2-2
9,8,22,10,6,11,13,12,8,180820_3-1
7,12,13,8,7,11,24,7,10,180820_4-2
8,11,8,2,23,11,10,16,10,180821_1-1
8,2,9,10,26,15,9,9,11,180821_2-2
14,16,3,9,8,8,27,10,4,180821_3-1
12,13,25,15,9,10,5,3,7,180821_4-2
5,8,19,9,7,13,19,13,6,180821_5-1
4,13,17,6,7,14,22,9,7,180821_6-2
5,14,9,13,15,7,6,20,10,180827_1-1
7,0,17,11,27,11,11,8,7,180827_2-2
1,13,15,13,16,13,12,12,4,180827_3-1
0,13,12,6,21,14,24,8,1,180827_4-2
