buy-buy,buy-no trade,buy-sell,no trade-buy,no trade-no trade,no trade-sell,sell-buy,sell-no trade,sell-sell,date
0,5,9,1,4,3,6,6,6,180706_1-1
0,2,5,1,5,9,13,1,4,180706_2-2
0,1,2,5,6,14,8,2,2,180713_1-2
10,2,4,4,0,5,12,1,2,180713_2-2
10,5,11,1,1,0,5,4,3,180713_3-1
0,0,3,4,10,15,6,1,1,180720_1-2
1,7,3,0,6,4,3,15,1,180720_2-1
0,1,11,1,0,10,13,2,2,180720_3-2
1,6,8,0,1,1,10,5,8,180720_4-1
0,9,4,2,1,4,6,11,3,180720_5-2
0,1,7,5,4,12,8,3,0,180720_6-1
2,1,4,2,0,8,11,3,9,180724_1-2
0,6,9,0,0,4,7,3,11,180724_2-1
2,2,7,4,3,4,8,3,7,180724_3-2
4,1,9,3,3,2,4,7,7,180724_4-1
0,2,6,2,8,5,8,4,5,180724_5-2
1,3,6,1,6,7,7,6,3,180724_6-1
6,2,7,2,1,1,7,5,9,180724_7-2
6,2,6,0,0,8,8,2,8,180724_8-1
0,0,9,3,7,7,7,5,2,180724_9-2
0,3,6,0,5,8,8,10,0,180724_10-1
0,5,4,0,11,5,8,3,4,180724_11-1
2,2,4,2,8,10,5,5,2,180724_12-2
0,3,9,2,0,1,10,7,8,180731_1-1
1,0,11,1,1,8,10,3,5,180731_2-2
2,3,5,1,5,9,6,5,4,180731_3-1
0,5,5,5,3,4,5,6,7,180731_4-2
0,0,1,6,11,6,0,13,3,180803_1-1
1,6,0,0,9,15,0,7,2,180803_2-2
0,0,13,2,4,2,16,0,3,180803_3-1
0,3,15,0,1,3,13,4,1,180803_4-2
0,1,7,1,6,6,12,1,6,180803_5-1
1,4,8,0,1,6,8,8,4,180803_6-2
1,8,3,1,1,4,4,11,7,180807_1-1
0,0,6,0,4,17,12,1,0,180807_2-2
0,1,8,2,8,6,13,2,0,180809_1-1
2,4,8,2,3,6,6,9,0,180809_2-2
3,2,10,0,0,0,10,8,7,180809_3-1
4,0,9,2,0,8,8,0,9,180809_4-2
0,2,4,1,19,6,5,1,2,180810_1-1
0,3,2,0,20,3,6,3,3,180810_2-2
0,4,5,1,7,7,8,3,5,180810_3-1
1,1,7,0,8,7,7,7,2,180810_4-2
1,4,6,1,5,11,5,5,2,180814_1-1
0,4,4,2,8,4,8,5,5,180814_2-2
0,5,8,2,3,5,10,4,3,180814_3-1
2,3,8,1,4,6,9,4,3,180814_4-2
1,7,0,2,9,12,0,7,2,180814_5-1
0,4,0,4,12,7,4,7,2,180814_6-2
2,0,9,1,3,6,13,4,2,180814_7-1
1,4,11,1,0,6,9,6,2,180814_8-2
2,8,1,0,0,0,2,25,2,180817_1-2
0,0,5,9,0,23,2,0,1,180817_2-1
1,5,5,2,8,4,5,4,6,180817_3-1
2,3,3,3,9,6,5,3,6,180817_4-2
0,3,7,2,2,7,10,2,7,180820_1-1
2,3,8,1,3,3,7,5,8,180820_2-2
3,3,10,0,2,6,5,4,7,180820_3-1
0,3,5,2,3,4,14,2,7,180820_4-2
2,3,2,2,11,5,4,6,5,180821_1-1
2,2,4,2,11,6,3,5,5,180821_2-2
8,8,0,5,2,0,11,3,3,180821_3-1
6,7,10,11,0,3,0,0,3,180821_4-2
1,3,8,1,3,9,9,2,4,180821_5-1
1,4,7,1,3,3,10,6,5,180821_6-2
1,5,2,4,5,3,3,9,8,180827_1-1
0,0,9,2,9,7,5,4,4,180827_2-2
0,8,2,1,6,8,6,7,2,180827_3-1
0,2,4,1,10,10,10,2,1,180827_4-2
