Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,sell,yes
2,1,95,10100,9,10955,sell,yes
3,1,95,10195,8,10955,sell,yes
4,1,93,10290,7,10941,sell,yes
5,1,89,10383,6,10917,no trade,yes
6,1,89,10383,6,10917,buy,yes
7,1,94,10294,7,10952,no trade,yes
8,1,92,10294,7,10938,no trade,yes
9,1,95,10294,7,10959,sell,yes
10,1,91,10389,6,10935,sell,yes
11,1,87,10480,5,10915,buy,yes
12,1,87,10393,6,10915,no trade,yes
13,1,87,10393,6,10915,no trade,yes
14,1,85,10393,6,10903,no trade,yes
15,1,83,10393,6,10891,no trade,yes
16,1,81,10393,6,10879,sell,yes
17,1,79,10474,5,10869,sell,yes
18,1,76,10553,4,10857,sell,yes
19,1,76,10629,3,10857,sell,yes
20,1,76,10705,2,10857,no trade,yes
21,2,74,10705,2,10853,buy,yes
22,2,74,10631,3,10853,buy,yes
23,2,74,10557,4,10853,sell,yes
24,2,71,10631,3,10844,sell,yes
25,2,68,10702,2,10838,sell,yes
26,2,66,10770,1,10836,buy,yes
27,2,70,10704,2,10844,sell,yes
28,2,68,10774,1,10842,buy,yes
29,2,73,10706,2,10852,sell,yes
30,2,73,10779,1,10852,sell,yes
31,2,70,10852,0,10852,no trade,yes
32,2,75,10852,0,10852,no trade,no
33,2,73,10852,0,10852,no trade,no
34,2,78,10852,0,10852,buy,no
35,2,78,10774,1,10852,sell,yes
36,2,76,10852,0,10852,buy,yes
37,2,84,10776,1,10860,sell,no
38,2,80,10860,0,10860,buy,yes
39,2,85,10780,1,10865,no trade,yes
40,2,85,10780,1,10865,no trade,yes
41,2,91,10780,1,10871,no trade,yes
42,2,89,10780,1,10869,buy,yes
43,2,98,10691,2,10887,sell,yes
44,2,94,10789,1,10883,sell,yes
45,2,94,10883,0,10883,buy,yes
46,2,100,10789,1,10889,sell,yes
47,2,95,10889,0,10889,no trade,yes
48,2,101,10889,0,10889,buy,yes
49,2,101,10788,1,10889,no trade,yes
50,2,108,10788,1,10896,sell,yes
51,2,103,10896,0,10896,buy,yes
52,2,114,10793,1,10907,sell,yes
53,2,109,10907,0,10907,buy,yes
54,2,116,10798,1,10914,no trade,yes
55,2,116,10798,1,10914,no trade,yes
56,2,123,10798,1,10921,no trade,yes
57,2,120,10798,1,10918,sell,no
58,2,120,10918,0,10918,no trade,yes
59,2,128,10918,0,10918,no trade,yes
60,2,125,10918,0,10918,buy,no
61,3,138,10793,1,10931,buy,yes
62,3,138,10655,2,10931,sell,yes
63,3,130,10793,1,10923,no trade,yes
64,3,134,10793,1,10927,no trade,yes
65,3,126,10793,1,10919,buy,no
66,3,133,10667,2,10933,sell,yes
67,3,120,10800,1,10920,no trade,yes
68,3,124,10800,1,10924,no trade,yes
69,3,124,10800,1,10924,no trade,yes
70,3,128,10800,1,10928,buy,yes
71,3,128,10672,2,10928,sell,yes
72,3,116,10800,1,10916,no trade,yes
73,3,120,10800,1,10920,buy,yes
74,3,120,10680,2,10920,sell,yes
75,3,120,10800,1,10920,buy,yes
76,3,124,10680,2,10928,sell,yes
77,3,112,10804,1,10916,no trade,yes
78,3,116,10804,1,10920,no trade,yes
79,3,110,10804,1,10914,buy,no
80,3,116,10694,2,10926,sell,yes
81,3,105,10810,1,10915,buy,yes
82,3,111,10705,2,10927,sell,yes
83,3,100,10816,1,10916,buy,yes
84,3,105,10716,2,10926,sell,yes
85,3,95,10821,1,10916,buy,yes
86,3,100,10726,2,10926,sell,yes
87,3,90,10826,1,10916,buy,yes
88,3,95,10736,2,10926,sell,yes
89,3,86,10831,1,10917,buy,yes
90,3,91,10745,2,10927,sell,yes
91,3,82,10836,1,10918,buy,yes
92,3,87,10754,2,10928,sell,yes
93,3,79,10841,1,10920,buy,yes
94,3,83,10762,2,10928,sell,yes
95,3,75,10845,1,10920,buy,yes
96,3,79,10770,2,10928,sell,yes
97,3,72,10849,1,10921,buy,yes
98,3,75,10777,2,10927,sell,yes
99,3,68,10852,1,10920,sell,yes
100,3,68,10920,0,10920,buy,yes
101,3,68,10852,1,10920,,
