Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,100,9900,11,11000,no trade,no
3,1,100,9900,11,11000,buy,yes
4,1,100,9800,12,11000,sell,yes
5,1,100,9900,11,11000,buy,no
6,1,100,9800,12,11000,sell,no
7,1,97,9900,11,10967,sell,no
8,1,97,9997,10,10967,buy,no
9,1,100,9900,11,11000,sell,no
10,1,95,10000,10,10950,buy,no
11,1,100,9905,11,11005,buy,no
12,1,100,9805,12,11005,buy,no
13,1,103,9705,13,11044,no trade,no
14,1,100,9705,13,11005,buy,no
15,1,105,9605,14,11075,sell,no
16,1,105,9710,13,11075,sell,yes
17,1,102,9815,12,11039,sell,yes
18,1,102,9917,11,11039,sell,no
19,1,99,10019,10,11009,buy,yes
20,1,104,9920,11,11064,sell,no
21,2,99,10024,10,11014,sell,no
22,2,99,10123,9,11014,sell,no
23,2,97,10222,8,10998,sell,no
24,2,97,10319,7,10998,buy,no
25,2,103,10222,8,11046,sell,no
26,2,98,10325,7,11011,no trade,no
27,2,104,10325,7,11053,sell,no
28,2,99,10429,6,11023,buy,no
29,2,105,10330,7,11065,sell,no
30,2,100,10435,6,11035,no trade,no
31,2,100,10435,6,11035,buy,no
32,2,106,10335,7,11077,sell,yes
33,2,101,10441,6,11047,sell,no
34,2,98,10542,5,11032,buy,no
35,2,108,10444,6,11092,sell,no
36,2,103,10552,5,11067,sell,no
37,2,100,10655,4,11055,sell,no
38,2,97,10755,3,11046,buy,no
39,2,107,10658,4,11086,no trade,no
40,2,104,10658,4,11074,sell,no
41,2,101,10762,3,11065,buy,no
42,2,108,10661,4,11093,sell,no
43,2,103,10769,3,11078,sell,no
44,2,100,10872,2,11072,buy,no
45,2,106,10772,3,11090,sell,no
46,2,101,10878,2,11080,buy,no
47,2,108,10777,3,11101,sell,no
48,2,103,10885,2,11091,sell,no
49,2,100,10988,1,11088,buy,no
50,2,111,10888,2,11110,sell,no
51,2,106,10999,1,11105,buy,no
52,2,113,10893,2,11119,sell,no
53,2,108,11006,1,11114,sell,no
54,2,105,11114,0,11114,buy,no
55,2,112,11009,1,11121,sell,no
56,2,107,11121,0,11121,no trade,no
57,2,107,11121,0,11121,no trade,no
58,2,107,11121,0,11121,buy,no
59,2,114,11014,1,11128,sell,no
60,2,109,11128,0,11128,no trade,no
61,3,109,11128,0,11128,no trade,no
62,3,109,11128,0,11128,no trade,no
63,3,109,11128,0,11128,buy,no
64,3,113,11019,1,11132,sell,no
65,3,102,11132,0,11132,no trade,no
66,3,106,11132,0,11132,no trade,no
67,3,106,11132,0,11132,buy,no
68,3,110,11026,1,11136,buy,no
69,3,110,10916,2,11136,sell,no
70,3,104,11026,1,11130,buy,no
71,3,110,10922,2,11142,sell,no
72,3,104,11032,1,11136,buy,no
73,3,110,10928,2,11148,sell,no
74,3,99,11038,1,11137,sell,no
75,3,99,11137,0,11137,buy,no
76,3,104,11038,1,11142,sell,no
77,3,98,11142,0,11142,buy,no
78,3,103,11044,1,11147,buy,no
79,3,107,10941,2,11155,sell,no
80,3,97,11048,1,11145,buy,no
81,3,102,10951,2,11155,sell,no
82,3,96,11053,1,11149,buy,no
83,3,101,10957,2,11159,sell,no
84,3,91,11058,1,11149,buy,no
85,3,96,10967,2,11159,buy,no
86,3,99,10871,3,11168,sell,no
87,3,94,10970,2,11158,no trade,no
88,3,94,10970,2,11158,no trade,no
89,3,94,10970,2,11158,no trade,no
90,3,94,10970,2,11158,sell,no
91,3,94,11064,1,11158,no trade,no
92,3,94,11064,1,11158,no trade,no
93,3,94,11064,1,11158,sell,no
94,3,94,11158,0,11158,buy,no
95,3,94,11064,1,11158,sell,no
96,3,94,11158,0,11158,no trade,no
97,3,89,11158,0,11158,buy,no
98,3,94,11069,1,11163,sell,no
99,3,85,11163,0,11163,buy,no
100,3,88,11078,1,11166,sell,no
101,3,88,11166,0,11166,,
